New Terminal Output:

root@d4a05a58442d:/app# cat /app/traces/alpha.trace
slot app fixtures/alpha/ws-old
query alpha_before Widget
slot app fixtures/alpha/ws-new
query alpha_after Widget
root@d4a05a58442d:/app# cat /app/traces/beta.trace
slot gen fixtures/beta/gen-v1
query beta_before Client
slot gen fixtures/beta/gen-v2
query beta_after Client
root@d4a05a58442d:/app# cat /app/traces/gamma.trace
slot pkg fixtures/gamma/alias-a
query gamma_before Bridge
slot pkg fixtures/gamma/alias-b
query gamma_after Bridge
root@d4a05a58442d:/app# cat /app/traces/delta.trace
slot app fixtures/delta/app-old
slot gen fixtures/delta/gen-v1
query delta_client_before DeltaClient
query delta_widget_before DeltaWidget
slot app fixtures/delta/app-new
query delta_client_after_app DeltaClient
query delta_widget_after_app DeltaWidget
slot gen fixtures/delta/gen-v2
query delta_client_after_gen DeltaClient
query delta_widget_after_gen DeltaWidget
root@d4a05a58442d:/app# cat /app/traces/epsilon.trace
slot gen fixtures/epsilon/gen-v1
query epsilon_legacy_before Legacy
slot gen fixtures/epsilon/gen-v2
miss epsilon_legacy_after Legacy
query epsilon_client_after Client
root@d4a05a58442d:/app# cat /app/traces/zeta.trace
slot app fixtures/zeta/app-old
slot pkg fixtures/zeta/alias-a
query zeta_bridge_before Bridge
query zeta_widget_before Widget
slot pkg fixtures/zeta/alias-b
query zeta_bridge_after_pkg Bridge
query zeta_widget_after_pkg Widget
slot app fixtures/zeta/app-new
query zeta_widget_after_app Widget
query zeta_bridge_after_app Bridge
root@d4a05a58442d:/app#
